epoch,train_loss,val_loss,lr
1,,-0.68,
2,-1.971,-0.872,
3,-3.028,-0.801,
4,-3.084,-0.771,
5,-3.156,-0.765,
6,-3.201,-0.587,
7,-3.251,-0.674,
8,-3.257,-0.732,
9,-3.276,-0.963,
10,-3.338,-1.183,
11,-3.411,-1.421,
12,-3.557,-1.738,
13,-3.597,-1.696,
14,-3.628,-2.184,
15,-3.794,-2.277,
16,-3.94,-2.342,
17,-4.022,-2.728,
18,-4.282,-2.779,
19,-4.456,-3.37,
20,-4.615,-3.551,
21,-4.792,-3.459,
22,-4.888,-3.929,
23,-5.033,-3.736,
24,-5.217,-4.132,
25,-5.299,-3.96,
26,-5.343,-4.571,
27,-5.571,-4.678,
28,-5.877,-4.668,
29,-5.874,-4.73,
30,-5.979,-4.763,
31,-5.937,-5.096,
32,-6.104,-5.155,
33,-6.239,-5.356,
34,-6.361,-5.441,
35,-6.546,-5.112,
36,-6.573,-5.547,
37,-6.794,-5.662,
38,-6.88,-5.859,
39,-6.763,-5.614,
40,-6.83,-5.628,
41,-7.027,-5.992,
42,-7.065,-5.973,
43,-6.989,-6.446,
44,-7.211,-6.248,
45,-7.238,-6.414,
46,-7.345,-6.205,
47,-7.343,-6.476,
48,-7.519,-6.416,
49,-7.522,-6.33,
50,-7.654,-6.628,
51,-7.649,-6.785,
52,-7.686,-7.047,
53,-7.723,-6.832,
54,-7.949,-6.943,
55,-7.983,-6.674,
56,-7.953,-7.062,
57,-7.912,-6.916,
58,-7.95,-7.226,
59,-8.1,-6.886,
60,-8.201,-6.937,
61,-8.246,-7.36,
62,-8.265,-7.394,
63,-8.377,-7.353,
64,-8.5,-7.259,
65,-8.565,-7.291,
66,-8.472,-7.314,
67,-8.469,-7.473,
68,-8.637,-7.683,
69,-8.678,-7.484,
70,-8.657,-7.674,
71,-8.69,-7.656,
72,-8.774,-7.813,
73,-8.801,-7.455,
74,-8.78,-7.426,
75,-8.882,-7.685,
76,-9.02,-7.81,
77,-8.882,-7.821,
78,-9.09,-7.867,
79,-9.11,-8.077,
80,-9.118,-8.099,
81,-8.963,-8.037,
82,-8.927,-7.86,
83,-9.132,-7.983,
84,-9.289,-8.128,
85,-9.167,-8.2,
86,-9.105,-7.847,
87,-9.377,-8.349,
88,-9.344,-8.267,
89,-9.398,-8.067,
90,-9.373,-8.208,
91,-9.428,-8.417,
92,-9.548,-8.511,
93,-9.443,-8.536,
94,-9.588,-8.584,
95,-9.552,-8.467,
96,-9.663,-8.704,
97,-9.475,-8.41,
98,-9.704,-8.566,
99,-9.564,-8.621,
100,-9.724,-8.791,
101,-9.903,-8.244,
102,-9.734,-8.584,
103,-9.642,-8.467,
104,-9.759,-8.637,
105,-9.756,-8.861,
106,-9.773,-8.798,
107,-9.9,-8.436,
108,-9.785,-8.796,
109,-9.865,-8.898,
110,-9.815,-9.051,
111,-10.046,-8.845,
112,-10.003,-8.825,
113,-10.093,-8.807,
114,-10.003,-8.931,
115,-10.091,-9.077,
116,-10.087,-9.213,
117,-10.342,-8.915,
118,-10.176,-9.331,
119,-10.22,-9.053,
120,-10.192,-9.141,
121,-10.254,-9.091,
122,-10.285,-9.216,
123,-10.373,-9.068,
124,-10.361,-9.009,
125,-10.392,-8.926,
126,-10.406,-9.149,
127,-10.411,-9.277,
128,-10.541,-9.367,
129,-10.47,-9.224,
130,-10.365,-9.314,
131,,-9.103,
132,-10.524,-9.505,
133,-10.516,-9.339,
134,-10.563,-9.387,
135,-10.6,-9.262,
136,-10.485,-9.426,
137,-10.629,-9.494,
138,-10.587,-9.339,
139,-10.48,-9.471,
140,-10.669,-9.735,
141,-10.567,-9.428,
142,-10.642,-9.647,
143,-10.736,-9.814,
144,-10.61,-9.688,
145,-10.722,-9.295,
146,-10.639,-9.729,
147,-10.698,-9.871,
148,-10.767,-9.561,
149,-10.665,-9.598,
150,-10.725,-9.729,
151,-10.781,-9.334,
152,-10.876,-9.867,
153,-10.841,-9.662,
154,-10.794,-9.938,
155,-11.02,-9.796,
156,-10.854,-9.696,
157,-10.883,-9.656,
158,-10.977,-9.857,
159,-10.923,-9.728,
160,-10.912,-10.029,
161,-10.983,-10.022,
162,-11.15,-10.092,
163,-10.91,-9.845,
